Key,Summary,Components,Labels,Status,Sprint,Reporter,Assignee,Priority
ALC-3074,[Web][Production][Settings]- Secondary Subscription Detail is Wrong for One-off Redemption Coupon Users (Regression),Web,Beta_Drop12;ProjectA;UI;Web_BetaDrop12;Web_BetaDrop12v0.0.59,Testing,Drop 13,ABC Iberahim,PQR Arumugam,Critical (L1)
ALC-3037,[Android/iOS/Web/ATV/LG/TV Stick] [Content Pages] LIP of TRT Missing E2 & E3,Android;Android TV;iOS;TV Stick;Web;WebOS,ATV_BetaDrop12;ATV_BetaDrop12v24.12.19(03);Android_BetaDrop12;Android_BetaDrop12v24.12.21(01);Beta_Drop12;Beta_Drop12.5(HotFix);Beta_Drop13;Metadata;ProjectA;Review;STVLG_BetaDrop13v24.12.26;STV_BetaDrop13;TVStick_BetaDrop12;TVStick_BetaDrop12.5(HotFix);TVStick_BetaDrop12.5(HotFix)v25.01.09.01(01);TVStick_BetaDrop12v24.12.19;UI;Web_BetaDrop12;Web_BetaDrop12v0.0.59;iOS_BetaDrop12;iOS_BetaDrop12v24.12.21(01);post_launch,Open,Drop 13,"POI, Valerie","LIU, Valerie",Critical (L1)
ALC-3024,[STV-LG][TV Stick][Production][Content Pages] Channel Logo missing on search result page,Smart TV;TV Stick;WebOS,Beta_Drop12;Metadata;ProjectA;Review;STVLG_BetaDrop12v24.12.26;STV_BetaDrop12;TVStick_BetaDrop12;TVStick_BetaDrop12v24.12.19;post_launch,Open,Drop 13,HUL Aggarwal,MNB Rajput,Critical (L1)
ALC-3006,{Internal Pentest - Jan 2025} (YUI Sooka - Beta Phase 12) Captcha Bypass,Web,BETA;ProjectA;post_launch;security_scan,Open,Drop 13,ABCAzlan, XYZ Mittal,Critical (L1)
ALC-2992,[STV - LG][Production][User Interaction and Content Discovery Experience Features] - Missing Channel Logo on Continue Watching Rail Posters and View All Page,WebOS,Beta_Drop12;Metadata;ProjectA;Review;STVLG_BetaDrop12v24.12.26;STV_BetaDrop12;post_launch,Development/Bug Fix,Drop 13,HUL Aggarwal,WER Sen,Critical (L1)
