Summary,Components,Priority,Assignee,Reporter,Status,Triage_Status,Affects versions,Reproducibility_%age
ALC-3074,WEB,Critical (L1),Unassigned,Astro,Open,Triaged,No_Version,100%
ALC-3037,"Android,ATV,iOS,WEB,HTML TV",Critical (L1),Unassigned,Astro,Open,Triaged,No_Version,100%
ALC-3024,"HTML TV,HTML TV",Critical (L1),Unassigned,Astro,Open,Triaged,No_Version,100%
ALC-3006,WEB,Critical (L1),Unassigned,Astro,Open,Triaged,No_Version,100%
ALC-2992,HTML TV,Critical (L1),Unassigned,Astro,Open,Triaged,No_Version,100%
