Summary,Components,Priority,Assignee,Reporter,Status,Triage_Status,Affects versions,Reproducibility_%age
ALC-3074,Web,Critical (L1),Unassigned,Astro,Open,Triaged,No_Version,100%
ALC-3037,Android;Android TV;iOS;TV Stick;Web;WebOS,Critical (L1),Unassigned,Astro,Open,Triaged,No_Version,100%
ALC-3024,Smart TV;TV Stick;WebOS,Critical (L1),Unassigned,Astro,Open,Triaged,No_Version,100%
ALC-3006,Web,Critical (L1),Unassigned,Astro,Open,Triaged,No_Version,100%
ALC-2992,WebOS,Critical (L1),Unassigned,Astro,Open,Triaged,No_Version,100%
